1,-2,-5,-4,-5,-5,-8,-8,-8,-7,-3,-3,-3,-1,-3,-4,-4,-4,-3,-6,-7,-7,-10,-10,-12,-14,-11,-10,-10,-10,-10,-11,-10,-12,-16,-17,-18,-15,-17,-17,-19,-18,-22,-20,-23,-21,-17,-18,-20,-16
1,3,-5,-8,-4,-9,-5,-4,-9,-7,-6,-4,-5,-4,-2,-2,-5,-7,-5,-3,-4,-6,-9,-7,-6,-7,-10,-6,-9,-8,-13,-14,-15,-9,-12,-16,-21,-17,-19,-18,-14,-18,-17,-17,-20,-21,-18,-21,-21,-22
-1,1,-2,-6,-3,-3,-10,-5,-3,-6,-7,-9,-10,-8,-8,-1,0,-4,-6,-9,-6,-5,-7,-11,-5,-4,-3,-10,-5,-8,-8,-11,-13,-14,-10,-16,-18,-23,-24,-17,-18,-15,-21,-15,-14,-19,-15,-14,-18,-24
-2,-5,-4,-7,-6,-6,-6,-10,-6,-5,-6,-10,-9,-10,-10,-6,1,-2,-1,-6,-9,-8,-5,-10,-13,-7,-7,-11,-8,-4,-8,-9,-8,-11,-8,-14,-14,-20,-24,-24,-18,-17,-18,-16,-11,-17,-20,-16,-19,-17
1,-5,-2,-8,-7,-8,-7,-8,-8,-2,-4,-11,-7,-7,-5,-9,-4,2,4,2,-1,-6,-10,-8,-10,-12,-9,-9,-8,-10,-5,-10,-9,-6,-10,-15,-11,-16,-23,-28,-20,-17,-18,-21,-20,-16,-16,-14,-19,-16
-1,-6,-4,-3,-7,-7,-7,-9,-8,-5,-8,-12,-11,-8,-5,-8,-8,-7,4,7,2,1,-4,-5,-6,-8,-7,-10,-10,-12,-12,-9,-9,-12,-6,-14,-17,-19,-16,-25,-27,-17,-16,-18,-22,-23,-16,-11,-16,-17
-3,-1,-2,-3,-2,-6,-11,-9,-10,-8,-11,-14,-16,-12,-7,-8,-8,-7,-5,6,1,1,-1,-7,-5,-4,-9,-5,-9,-8,-12,-11,-13,-15,-15,-9,-14,-13,-15,-19,-24,-19,-14,-12,-14,-24,-21,-13,-16,-18
1,-4,2,-4,-6,-5,-9,-12,-10,-8,-8,-12,-15,-15,-11,-10,-9,-11,-11,0,4,1,2,-5,-4,-3,-7,-6,-3,-3,-8,-10,-12,-9,-12,-14,-14,-14,-12,-13,-19,-25,-19,-14,-12,-17,-21,-21,-19,-21
4,-3,-5,-2,-4,-7,-11,-10,-10,-11,-8,-11,-17,-20,-18,-16,-16,-11,-11,-3,3,3,2,2,2,0,-2,-1,-2,-3,-2,-6,-10,-7,-13,-10,-14,-17,-18,-16,-17,-21,-18,-16,-12,-13,-13,-16,-19,-19
8,4,2,-5,-3,-7,-11,-11,-6,-7,-5,-6,-15,-13,-17,-15,-15,-13,-11,-5,-5,3,3,1,3,3,-1,-4,1,0,1,-4,-6,-10,-9,-12,-9,-16,-13,-18,-19,-19,-16,-13,-15,-15,-18,-18,-14,-20
11,4,0,-1,-1,-7,-5,-5,-8,-8,-8,-8,-10,-17,-14,-12,-18,-17,-10,-9,-6,-6,0,0,5,4,0,2,2,-2,3,-3,-3,-10,-9,-7,-9,-11,-15,-15,-19,-15,-13,-12,-13,-12,-11,-19,-19,-14
12,9,5,1,3,-1,-3,-2,-1,-3,-2,-10,-12,-14,-12,-14,-15,-19,-19,-12,-5,-8,-9,-7,0,-1,-2,-3,-3,1,1,2,-5,-7,-10,-13,-14,-9,-9,-14,-16,-20,-17,-15,-17,-18,-11,-13,-17,-21
15,11,11,6,0,5,-3,1,3,4,-4,-6,-9,-12,-10,-14,-17,-13,-21,-17,-7,-7,-4,-4,-6,0,-3,-6,-5,-6,0,5,4,-6,-8,-10,-10,-15,-15,-9,-10,-17,-22,-19,-17,-17,-18,-18,-16,-18
14,17,13,10,6,1,-3,-5,1,-1,-2,-3,-4,-9,-10,-9,-15,-15,-17,-21,-17,-10,-5,-4,-2,-1,-1,-6,-9,-4,-6,3,0,-2,-7,-12,-8,-14,-18,-12,-14,-13,-20,-16,-13,-20,-14,-15,-15,-12
16,18,16,13,10,7,2,2,-4,2,-4,1,2,-5,-7,-8,-13,-16,-19,-16,-18,-14,-6,-3,-3,2,-4,-6,-6,-5,-4,-6,-3,-1,-7,-6,-5,-10,-17,-16,-14,-17,-17,-18,-17,-17,-18,-15,-15,-18
17,14,12,14,12,14,7,5,1,-2,3,-3,0,-3,-7,-3,-8,-12,-17,-17,-16,-16,-8,-8,-3,2,-1,-3,-8,-7,-7,-5,-6,-5,-4,-7,-5,-5,-15,-20,-17,-18,-21,-19,-19,-14,-17,-16,-14,-20
14,16,13,10,15,11,12,5,1,4,0,-2,-1,-1,-3,0,-8,-13,-15,-20,-14,-12,-11,-8,-8,-1,4,-2,0,-1,-7,-8,-6,-4,-4,-2,-9,-9,-11,-11,-17,-13,-17,-17,-20,-22,-19,-13,-17,-19
11,16,19,18,16,17,12,8,2,2,0,0,-4,-6,-1,-2,-2,-10,-17,-21,-14,-13,-15,-13,-10,-9,1,0,-1,3,1,-2,-6,-4,-6,-7,-7,-6,-13,-12,-13,-14,-15,-20,-19,-19,-22,-19,-17,-20
7,11,17,22,21,16,18,11,4,4,5,4,-3,0,-4,-2,-4,-8,-12,-17,-18,-18,-19,-15,-10,-9,-5,-4,-4,-5,4,1,-2,-5,-5,-6,-7,-11,-6,-6,-9,-11,-12,-15,-18,-19,-16,-21,-17,-14
9,5,10,17,19,19,20,16,8,5,2,0,1,2,-1,2,2,-5,-6,-15,-19,-18,-17,-17,-18,-10,-5,-6,-6,-4,1,-2,3,-4,-7,-2,-7,-11,-9,-6,-11,-12,-15,-14,-16,-19,-17,-22,-20,-13
13,6,11,12,16,19,22,19,10,7,9,4,5,3,-1,1,-1,0,-1,-9,-17,-19,-22,-16,-18,-14,-13,-7,-4,-4,-3,-3,1,-4,-2,-4,-6,-10,-10,-5,-5,-13,-10,-10,-15,-17,-14,-18,-20,-14
13,8,4,12,9,17,19,23,17,8,9,6,5,4,-1,-1,-4,-4,2,-1,-6,-17,-19,-19,-22,-14,-10,-10,-7,-6,-5,-8,-5,1,2,-3,-4,-3,-8,-6,-3,-3,-7,-10,-10,-15,-19,-19,-23,-19
15,13,10,9,12,11,14,23,19,16,12,10,11,9,1,-1,-1,-4,-4,-4,-4,-10,-18,-18,-19,-20,-16,-12,-14,-9,-10,-8,-10,-5,0,3,-1,-5,-7,-4,-3,-3,-8,-8,-7,-8,-15,-19,-24,-24
12,11,13,8,10,11,10,18,16,14,14,12,9,14,4,4,-1,1,1,-1,-1,-3,-14,-19,-19,-16,-20,-16,-14,-14,-13,-14,-13,-6,-1,2,5,0,-4,-9,-4,-6,-7,-10,-10,-10,-10,-11,-22,-20
14,15,13,15,7,9,9,10,14,14,10,10,6,8,13,3,0,2,2,5,1,0,-6,-15,-18,-22,-18,-20,-18,-11,-10,-16,-14,-11,-4,3,4,3,4,0,0,0,-5,-7,-7,-13,-11,-8,-13,-18
